case:concept:name	CLUS_KME	CLUS_AGG	CLUS_ACT
10671_TRT18	0.6316	0.2353	0.9167
10676_TRT18	0.1053	0.1176	0.5
10677_TRT18	0.8158	0.5882	0.25
10678_TRT18	0.1053	0.1176	1.0
1067_TRT11	0.3421	0.5882	0.4167
1067_TRT15	0.1316	0.2941	0.3333
1067_TRT18	0.1053	0.2353	0.3333
1067_TRT21	0.0789	0.8235	0.3333
1067_TRT22	0.2895	0.7059	0.6667
1067_TRT8	0.8158	0.7059	0.6667
10681_TRT18	0.1053	0.1176	0.9167
10682_TRT18	0.8158	0.5882	0.4167
10683_TRT18	0.1053	0.2353	0.25
10684_TRT18	0.3158	0.5882	0.25
10686_TRT18	0.6316	0.2353	0.1667
1068_TRT11	0.3947	0.2941	0.1667
1068_TRT15	0.1842	0.3529	0.4167
10690_TRT18	0.7895	0.5882	0.4167
10691_TRT18	0.7895	0.5882	0.25
10692_TRT18	0.6316	0.2353	0.9167
10693_TRT18	0.1053	0.1765	0.25
10699_TRT18	0.5263	0.5882	0.1667
1069_TRT11	0.3947	0.2941	0.3333
1069_TRT12	0.8158	1.0	0.75
1069_TRT15	0.1316	0.2941	0.25
1069_TRT21	0.0789	0.8235	0.3333
1069_TRT22	0.1316	0.7059	0.9167
106_TRT11	0.7105	0.4706	0.25
10700_TRT18	0.7895	0.5882	0.8333
10702_TRT18	0.5263	0.5882	0.1667
10707_TRT18	0.3158	0.5882	0.25
1070_TRT11	0.2895	0.4706	0.0833
1070_TRT12	0.7895	0.6471	0.1667
1070_TRT20	0.8684	0.5882	0.4167
1070_TRT22	0.1316	0.7059	0.9167
10714_TRT18	0.1053	0.2353	0.9167
10718_TRT18	0.1053	0.0588	0.25
1071_TRT11	0.2632	0.1765	0.0
1071_TRT15	0.1842	0.3529	0.4167
1071_TRT20	0.8684	0.5882	0.4167
1071_TRT21	0.7105	0.5882	0.5
1071_TRT22	0.1316	0.7059	0.9167
10720_TRT18	0.7105	0.5882	0.5833
10722_TRT18	0.6316	0.2353	0.5
10723_TRT18	0.1053	0.1176	0.5
1072_TRT20	0.8684	0.5882	0.25
1072_TRT21	0.5263	0.8235	0.9167
1072_TRT22	0.1316	0.7059	0.9167
10731_TRT18	0.6316	0.2353	0.3333
10733_TRT18	0.1053	0.1765	0.5
1073_TRT11	0.1316	0.2941	0.3333
1073_TRT15	0.0789	0.4706	0.5
1073_TRT20	0.8684	0.5882	0.9167
1073_TRT21	0.7105	0.5882	0.9167
1073_TRT22	0.1316	0.7059	0.6667
10742_TRT18	0.3158	0.5882	0.25
10744_TRT18	0.7895	0.5882	0.8333
10745_TRT18	0.7105	0.5882	0.8333
10746_TRT18	0.3158	0.5882	0.25
10747_TRT18	0.7895	0.5882	0.8333
10749_TRT18	0.7895	0.5882	0.75
1074_TRT15	0.1316	0.2941	0.1667
1074_TRT20	0.8684	0.5882	0.1667
10755_TRT18	0.7895	0.5882	0.1667
10757_TRT18	0.8158	0.5882	0.5833
1075_TRT12	0.7105	0.8824	1.0
1075_TRT20	0.8684	0.5882	0.9167
10761_TRT18	0.6316	0.2353	0.25
10767_TRT18	0.1053	0.0	0.0833
1076_TRT15	0.1316	0.2941	0.1667
1076_TRT20	0.8684	0.5882	1.0
1076_TRT4	0.7895	0.7647	0.5
10773_TRT18	0.7895	0.5882	0.1667
10774_TRT18	0.7895	0.5882	0.75
10776_TRT18	0.3158	0.5882	0.25
10779_TRT18	0.3158	0.5882	0.4167
1077_TRT12	0.8421	0.8824	1.0
1077_TRT20	0.8684	0.5882	0.25
1077_TRT21	0.7105	0.5882	0.5
1077_TRT4	0.4211	0.7647	0.8333
1077_TRT8	0.7105	0.5882	0.6667
10780_TRT18	0.6316	0.2353	0.25
10784_TRT18	0.6316	0.1176	0.25
10785_TRT18	0.6316	0.2353	0.25
10787_TRT18	0.5263	0.5882	0.25
1078_TRT12	0.8421	0.8824	1.0
1078_TRT15	0.1316	0.2941	0.0833
1078_TRT20	0.8684	0.5882	0.25
1078_TRT21	0.7105	0.5882	0.9167
10791_TRT18	0.6316	0.2353	0.9167
10793_TRT18	0.1053	0.4706	0.5
10795_TRT18	0.1053	0.2353	0.25
1079_TRT11	0.3158	0.1765	0.4167
1079_TRT12	0.8421	0.8824	0.25
1079_TRT20	0.8684	0.5882	0.25
1079_TRT21	0.7105	0.8235	0.1667
1079_TRT8	0.7105	0.5882	0.6667
107_TRT20	0.8684	0.5882	0.25
10809_TRT18	0.1053	0.0588	0.4167
